method,rundif,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,,
Albert,-6,0.061,0.054,0.039,0.029,0.02,0.012,0.005,0.0005,0,0,0,0,,
Albert,-5,0.095,0.087,0.067,0.053,0.038,0.025,0.013,0.004,0,0,0,0,,
Albert,-4,0.142,0.133,0.109,0.091,0.07,0.05,0.029,0.011,0,0,0,0,,
Albert,-3,0.207,0.196,0.171,0.15,0.122,0.093,0.06,0.025,0,0,0,0,,
Albert,-2,0.29,0.28,0.257,0.236,0.207,0.168,0.122,0.063,0,0,0,0,,
Albert,-1,0.389,0.383,0.368,0.353,0.331,0.295,0.244,0.153,0,0,0,0,,
Albert,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,
Albert,1,0.611,0.617,0.632,0.647,0.669,0.705,0.756,0.847,1,1,1,1,,
Albert,2,0.71,0.72,0.743,0.764,0.793,0.832,0.878,0.937,1,1,1,1,,
Albert,3,0.793,0.804,0.829,0.85,0.878,0.907,0.94,0.975,1,1,1,1,,
Albert,4,0.858,0.867,0.891,0.909,0.93,0.95,0.971,0.989,1,1,1,1,,
Albert,5,0.905,0.913,0.933,0.947,0.962,0.975,0.987,0.996,1,1,1,1,,
Albert,6,0.939,0.946,0.961,0.971,0.98,0.988,0.995,0.9995,1,1,1,1,,
visitor,-5,,0.03,0.027,0.023,0.019,0.013,0.007,0.002,0,0,0,0,,
visitor,-4,,0.074,0.069,0.063,0.053,0.04,0.026,0.011,0,0,0,0,,
visitor,-3,,0.135,0.127,0.116,0.1,0.08,0.055,0.027,0,0,0,0,,
visitor,-2,,0.22,0.21,0.196,0.175,0.146,0.108,0.059,0,0,0,0,,
visitor,-1,,0.332,0.322,0.307,0.286,0.254,0.206,0.129,0,0,0,0,,
visitor,0,0.463,0.459,0.454,0.447,0.44,0.43,0.416,0.397,0.368,0.368,0.368,0.368,,3.876
visitor,1,0.594,0.593,0.593,0.597,0.605,0.621,0.651,0.706,0.843,0.843,0.843,0.843,,
visitor,2,0.715,0.715,0.718,0.726,0.739,0.762,0.795,0.844,0.928,0.928,0.928,0.928,,
visitor,3,0.817,0.817,0.82,0.827,0.84,0.859,0.886,0.92,0.967,0.967,0.967,0.967,,
visitor,4,0.895,0.895,0.897,0.901,0.91,0.923,0.94,0.961,0.986,0.986,0.986,0.986,,
visitor,5,0.949,0.948,0.949,0.951,0.956,0.963,0.972,0.983,0.995,0.995,0.995,0.995,,
home,-5,0.043,0.042,0.04,0.036,0.03,0.022,0.014,0.005,0,0,0,0,,
home,-4,0.089,0.087,0.087,0.075,0.064,0.049,0.032,0.014,0,0,0,0,,
home,-3,0.159,0.155,0.155,0.136,0.119,0.095,0.066,0.033,0,0,0,0,,
home,-2,0.253,0.249,0.249,0.226,0.204,0.173,0.13,0.072,0,0,0,0,,
home,-1,0.369,0.366,0.366,0.347,0.328,0.297,0.246,0.157,0,0,0,0,,
home,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,
home,1,0.628,0.632,0.632,0.652,0.672,0.703,0.754,0.843,1,1,1,1,,
home,2,0.747,0.751,0.751,0.774,0.796,0.827,0.87,0.928,1,1,1,1,,
home,3,0.841,0.845,0.845,0.864,0.881,0.905,0.934,0.967,1,1,1,1,,
home,4,0.911,0.913,0.913,0.925,0.936,0.951,0.968,0.986,1,1,1,1,,
home,5,0.957,0.958,0.958,0.964,0.97,0.978,0.986,0.995,1,1,1,1,,
